# Subaru Telescope Primary Mirror In-Situ Measured Reflectivity
# Coated with Aluminum on 2017-10-20
# Opened the vacuum chamber on 2017-11-21
# Measured with Subaru Portable Spectrophotometer (SPS) on 2020-02-19 (852 days after)
# Measured five times at around the position 3
# Data between 950 nm and 1650 nm are also available (SPS-XWW).
# Contact: Hirofumi Okita (okita14@naoj.org)
#
# Wavelength (nm)	Pos.3 #1	Pos.3 #2	Pos.3 #3	Pos.3 #4	Pos.3 #5
1000	88.24	88.42	89.56	88.11	88.66
998	88.17	87.82	88.19	88.28	89.14
996	87.97	87.99	88.14	87.98	88.61
994	88.01	88.07	88.03	89.01	88.44
992	87.77	88.41	87.93	88.39	88.37
990	88.95	88.53	88.36	88.30	87.98
988	87.70	89.05	88.86	88.72	87.68
986	87.75	88.84	88.09	88.36	88.14
984	88.54	88.27	87.78	87.93	88.78
982	87.76	88.08	87.78	88.68	88.57
980	86.93	88.08	88.11	89.07	88.25
978	88.08	88.48	87.76	87.65	88.83
976	87.52	88.76	87.75	88.15	88.84
974	87.55	88.36	87.41	87.65	88.25
972	87.74	87.03	86.98	88.13	87.72
970	87.98	87.67	88.13	88.14	88.64
968	86.79	87.50	87.42	87.79	87.70
966	87.71	88.09	87.64	87.17	87.78
964	87.42	88.13	87.95	87.91	87.21
962	86.91	87.87	87.71	87.88	87.16
960	86.92	87.61	87.12	88.39	87.59
958	87.15	87.08	87.39	87.50	87.69
956	86.05	87.68	87.17	87.44	87.31
954	86.93	87.02	87.25	87.66	87.50
952	86.90	86.64	87.60	87.38	87.07
950	87.22	87.63	87.29	86.89	87.56
948	86.43	87.34	87.41	87.34	87.17
946	86.27	87.21	86.83	86.94	87.15
944	86.80	87.15	86.68	86.65	86.93
942	86.62	86.77	86.39	86.97	86.70
940	86.24	86.68	86.49	86.68	86.79
938	86.17	86.30	86.44	86.84	86.73
936	85.84	86.54	86.54	86.46	86.90
934	86.15	86.07	86.60	86.31	86.15
932	85.74	86.21	86.14	86.15	86.11
930	85.72	86.22	86.30	86.50	86.40
928	86.03	85.95	85.80	86.14	85.90
926	85.38	85.94	85.83	85.75	86.00
924	85.40	86.04	85.63	85.52	85.59
922	85.26	85.60	85.66	85.73	85.84
920	85.33	85.80	85.50	85.88	85.72
918	85.17	85.61	85.27	85.57	85.47
916	85.41	85.95	85.20	85.59	85.68
914	85.32	85.11	85.14	85.38	85.16
912	84.87	85.37	85.26	85.04	85.34
910	84.66	85.41	84.41	85.09	85.20
908	84.89	85.24	85.29	85.04	84.73
906	84.34	84.28	84.79	84.79	84.87
904	84.27	84.58	84.11	84.67	84.53
902	84.11	84.58	84.25	84.75	84.61
900	83.79	84.33	84.47	84.70	84.21
898	83.68	84.08	84.27	83.97	84.26
896	84.00	84.45	83.74	84.39	84.05
894	83.58	83.67	83.97	84.07	83.72
892	83.54	83.73	83.67	84.04	84.02
890	83.07	83.72	83.33	83.59	83.71
888	82.96	83.74	83.21	83.64	83.36
886	82.72	83.52	82.83	83.66	83.26
884	82.77	83.59	82.75	83.37	83.16
882	82.58	83.23	82.79	83.13	83.46
880	82.54	82.89	82.30	83.45	83.10
878	82.21	82.86	82.47	82.72	82.85
876	81.76	83.22	82.52	82.78	82.50
874	82.04	82.75	81.71	82.45	82.37
872	81.82	82.08	82.18	82.37	82.63
870	81.69	82.17	81.77	82.44	82.15
868	81.66	81.88	81.91	82.13	81.84
866	81.33	81.65	81.82	81.76	81.73
864	80.92	81.77	81.63	81.97	81.41
862	81.19	81.76	81.17	81.67	81.62
860	81.07	81.21	81.35	81.12	81.43
858	80.85	81.55	81.26	81.26	81.37
856	80.74	81.19	81.07	81.18	81.18
854	80.80	81.00	80.95	81.23	80.90
852	80.26	81.00	80.53	81.34	81.08
850	80.44	80.89	80.39	80.92	80.85
848	80.41	81.17	80.31	80.71	80.99
846	80.08	80.66	80.29	80.68	80.84
844	80.28	80.50	80.16	80.49	80.58
842	79.98	80.61	80.38	80.36	80.64
840	79.79	80.36	80.18	80.28	80.32
838	79.84	80.02	79.82	80.42	80.22
836	79.99	80.34	79.92	80.45	80.24
834	80.03	80.26	80.31	80.07	80.15
832	79.84	80.34	80.06	80.42	80.07
830	80.01	79.68	80.26	80.39	79.78
828	79.53	80.34	79.84	79.99	80.15
826	79.63	80.03	79.53	80.20	80.21
824	79.60	80.10	79.44	80.06	80.16
822	79.45	79.88	79.93	80.14	80.19
820	79.90	80.27	79.61	80.43	80.30
818	79.45	80.27	79.87	80.19	80.32
816	79.59	80.02	79.66	80.39	79.77
814	79.70	80.10	79.96	80.16	80.13
812	79.64	80.32	79.81	80.18	80.39
810	79.72	80.38	79.80	80.37	80.13
808	79.62	79.85	79.96	80.03	79.88
806	79.80	80.38	79.84	80.36	80.36
804	79.78	80.47	79.80	80.54	80.35
802	79.73	80.60	80.21	80.44	80.36
800	80.02	80.32	80.03	80.42	80.62
798	80.02	80.60	80.11	80.70	80.59
796	79.80	80.50	80.15	80.40	80.05
794	79.69	80.43	79.99	80.71	80.84
792	80.04	80.77	80.25	80.50	80.32
790	80.32	80.79	80.39	80.45	80.81
788	80.36	80.99	80.28	80.80	80.78
786	80.47	80.75	80.56	80.86	80.89
784	80.68	80.94	80.33	80.90	81.08
782	80.54	80.96	80.49	80.69	80.89
780	80.27	81.23	80.98	81.21	80.97
778	80.69	81.32	80.58	81.25	80.93
776	80.75	80.96	80.77	81.08	81.12
774	80.71	81.05	81.11	81.37	81.14
772	80.72	81.39	81.09	81.53	81.13
770	80.83	81.32	80.91	81.58	81.35
768	81.12	81.24	81.07	81.34	81.55
766	81.24	81.58	81.08	81.64	81.50
764	80.94	81.63	81.25	81.75	81.36
762	81.32	81.52	81.40	81.70	81.63
760	81.41	81.66	81.19	81.81	81.88
758	80.96	81.82	81.24	81.93	81.68
756	81.20	81.85	81.47	81.80	81.84
754	81.23	81.77	81.68	81.88	81.94
752	81.50	81.72	81.44	81.99	81.91
750	81.61	82.06	81.50	82.21	82.09
748	81.62	82.00	81.66	82.15	82.05
746	81.56	82.20	81.75	82.05	82.04
744	81.57	82.24	81.98	82.27	82.18
742	81.36	82.39	81.90	82.26	82.23
740	81.58	82.42	81.73	82.33	82.14
738	81.93	82.26	81.87	82.42	82.22
736	81.79	82.35	82.06	82.41	82.16
734	81.73	82.56	82.21	82.41	82.45
732	82.17	82.25	82.29	82.47	82.21
730	82.21	82.45	82.07	82.80	82.52
728	82.02	82.48	82.24	82.58	82.48
726	81.91	82.51	82.14	82.63	82.55
724	82.09	82.70	82.45	82.89	82.72
722	82.22	82.66	82.28	82.75	82.75
720	82.20	82.61	82.22	82.80	82.64
718	82.01	82.76	82.19	82.68	82.75
716	82.29	82.72	82.16	82.91	82.67
714	82.32	82.57	82.48	82.71	82.80
712	82.38	82.77	82.51	82.99	82.93
710	82.30	82.74	82.53	83.10	82.80
708	82.32	82.88	82.57	83.04	82.93
706	82.58	82.93	82.49	83.04	82.90
704	82.31	82.88	82.39	82.81	82.78
702	82.49	82.96	82.97	83.08	82.86
700	82.49	82.98	82.64	83.14	82.97
698	82.64	82.99	82.81	83.17	83.02
696	82.59	83.14	82.80	83.14	82.79
694	82.77	82.95	82.69	83.14	83.05
692	82.75	83.20	82.68	83.26	83.10
690	82.60	83.19	82.63	83.31	82.80
688	82.72	83.16	82.94	83.22	83.08
686	82.60	82.87	82.77	83.54	83.19
684	82.63	83.17	82.92	83.32	83.21
682	82.75	83.17	82.73	83.17	83.35
680	82.59	83.08	82.76	83.45	83.27
678	82.74	83.41	82.65	83.36	83.25
676	82.81	83.07	83.04	83.52	83.30
674	82.91	83.12	83.01	83.56	83.28
672	82.93	83.24	82.98	83.50	83.28
670	82.89	83.39	82.94	83.61	83.30
668	83.04	83.16	83.03	83.64	83.27
666	82.81	83.34	83.13	83.51	83.40
664	82.66	83.30	83.05	83.78	83.36
662	83.04	83.43	83.04	83.55	83.20
660	82.83	83.50	83.19	83.64	83.43
658	82.89	83.51	82.85	83.39	83.40
656	82.93	83.39	83.03	83.69	83.50
654	82.88	83.46	83.08	83.67	83.62
652	83.01	83.40	83.11	83.60	83.41
650	83.12	83.46	83.18	83.64	83.67
648	83.18	83.56	83.06	83.76	83.48
646	83.16	83.73	83.15	83.68	83.39
644	83.00	83.49	83.16	83.75	83.62
642	82.92	83.50	83.23	83.76	83.50
640	82.92	83.60	83.15	83.78	83.49
638	83.01	83.68	83.40	83.65	83.67
636	83.06	83.52	83.33	83.65	83.55
634	83.24	83.75	83.27	83.73	83.72
632	83.08	83.53	83.17	83.90	83.57
630	83.11	83.68	83.29	83.93	83.46
628	83.15	83.56	83.23	83.77	83.50
626	83.24	83.73	83.18	83.79	83.73
624	83.17	83.63	83.27	83.75	83.67
622	83.04	83.69	83.41	83.74	83.62
620	83.40	83.60	83.14	84.01	83.67
618	83.19	83.63	83.43	83.85	83.62
616	83.13	83.74	83.12	83.73	83.78
614	83.10	83.84	83.44	83.81	83.70
612	83.17	83.73	83.28	83.75	83.59
610	83.11	83.73	83.24	83.94	83.52
608	83.20	83.78	83.26	83.85	83.61
606	83.42	83.54	83.52	83.86	83.56
604	83.24	83.72	83.36	83.97	83.56
602	82.96	83.62	83.27	84.04	83.69
600	83.18	83.69	83.33	83.94	83.76
598	83.26	83.84	83.37	83.74	83.63
596	83.11	83.71	83.36	83.94	83.52
594	83.12	83.67	83.32	83.99	83.79
592	83.08	83.67	83.44	83.84	83.61
590	83.19	83.77	83.34	83.93	83.65
588	83.28	83.78	83.55	83.83	83.63
586	82.90	83.82	83.36	84.12	83.59
584	83.42	83.53	83.38	83.93	83.61
582	83.29	83.73	83.48	83.95	83.85
580	83.31	83.62	83.34	83.94	83.75
578	83.15	83.63	83.31	83.91	83.55
576	83.05	83.68	83.31	83.76	83.71
574	83.17	83.69	83.41	83.97	83.72
572	83.43	83.74	83.46	83.88	83.62
570	83.33	83.67	83.33	83.94	83.75
568	83.29	83.69	83.30	83.79	83.62
566	83.26	83.76	83.32	83.90	83.63
564	83.29	83.69	83.31	83.77	83.61
562	83.28	83.58	83.47	83.92	83.77
